"Prioridad","Nombre","Direccion","Ciudad","Telefono","Website","Rating","Resenias","GoogleMaps"
"ALTA","CARTEY INMOBILIARIA","De la Nación 412, B2900 AAJ, Provincia de Buenos Aires, Argentina","AAJ","+54 336 442-7271","http://www.inmobiliariacartey.com.ar/","4","90","https://www.google.com/maps/search/?api=1&query=CARTEY%20INMOBILIARIA&query_place_id=ChIJQzvtxY9nt5URZxlbqHTFL3M"
"ALTA","VENIER INMOBILIARIA","De la Nación 157, B2900 San Nicolás de Los Arroyos, Provincia de Buenos Aires, Argentina","San Nicolás de Los Arroyos","+54 336 442-0151","http://www.inmobiliariavenier.com.ar/","4","68","https://www.google.com/maps/search/?api=1&query=VENIER%20INMOBILIARIA&query_place_id=ChIJqehu-Itnt5URnfQ88ELUoDA"
"ALTA","Inmobiliaria Mariano Heymo - Tasador - Martillero Publico","Av. Falcón 388, B2900 San Nicolás de Los Arroyos, Provincia de Buenos Aires, Argentina","San Nicolás de Los Arroyos","+54 336 442-6182","http://www.marianoheymo.com/","4","66","https://www.google.com/maps/search/?api=1&query=Inmobiliaria%20Mariano%20Heymo%20-%20Tasador%20-%20Martillero%20Publico&query_place_id=ChIJpWikDo9nt5URvJ6LjKaO1yE"
"ALTA","Kerlin Bienes Raices","Francia 254, B2900 San Nicolás de Los Arroyos, Provincia de Buenos Aires, Argentina","San Nicolás de Los Arroyos","+54 336 419-1219","http://www.kerlin.com.ar/","4.5","61","https://www.google.com/maps/search/?api=1&query=Kerlin%20Bienes%20Raices&query_place_id=ChIJ0-M42i5nt5UR4Og6a2KUIek"
"ALTA","Inmobiliaria Primo","San Martín 55, B2900HAB San Nicolás de Los Arroyos, Provincia de Buenos Aires, Argentina","San Nicolás de Los Arroyos","+54 336 452-8646","http://www.inmobiliariaprimo.com.ar/inicio","3.3","46","https://www.google.com/maps/search/?api=1&query=Inmobiliaria%20Primo&query_place_id=ChIJ3dd9ZY5nt5URVZJ7Ys43d5Q"
"ALTA","Alejandra Niemberger - Servicios Inmobiliarios","Leandro N. Alem 28, B2900 San Nicolás de Los Arroyos, Provincia de Buenos Aires, Argentina","San Nicolás de Los Arroyos","+54 336 413-6355","https://anpropiedades.com.ar/","3.7","38","https://www.google.com/maps/search/?api=1&query=Alejandra%20Niemberger%20-%20Servicios%20Inmobiliarios&query_place_id=ChIJ_9ovSYhnt5URnJUYhSj_wMw"
"ALTA","CEO Propiedades","Av. Savio 426, B2900 San Nicolás de Los Arroyos, Provincia de Buenos Aires, Argentina","San Nicolás de Los Arroyos","+54 9 336 440-5036","https://ceoprop.com/","4.9","34","https://www.google.com/maps/search/?api=1&query=CEO%20Propiedades&query_place_id=ChIJn9VMZoBnt5URtf6E_6sUHu4"
"ALTA","Olga soria","Italia 217, B2900 San Nicolás de Los Arroyos, Provincia de Buenos Aires, Argentina","San Nicolás de Los Arroyos","+54 336 443-3754","","4","33","https://www.google.com/maps/search/?api=1&query=Olga%20soria&query_place_id=ChIJRQi6G4hnt5URfrXGeq-2-3U"
"ALTA","Inmobiliaria Puyella","Bartolomé Mitre 154, B2900 San Nicolás de Los Arroyos, Provincia de Buenos Aires, Argentina","San Nicolás de Los Arroyos","+54 336 443-5406","http://www.puyella.com.ar/","4","32","https://www.google.com/maps/search/?api=1&query=Inmobiliaria%20Puyella&query_place_id=ChIJVUJ1HpBnt5URWGy7aCGOr5w"
"MEDIA","Bc Pajor Consultora Inmobiliaria","25 de Mayo 79, B2900 San Nicolás de Los Arroyos, Provincia de Buenos Aires, Argentina","San Nicolás de Los Arroyos","+54 336 459-9037","","3.6","29","https://www.google.com/maps/search/?api=1&query=Bc%20Pajor%20Consultora%20Inmobiliaria&query_place_id=ChIJEeN_7JZdt5URGMt9NasIUCI"
